subject	label	region	voxel_count	volume_mm3	is_reference_label	raw_pet_mean	raw_suvr_mean	gm50_voxel_count	pvc_psf4_mean	suvr_psf4_mean	pvc_psf5_mean	suvr_psf5_mean	pvc_psf6_mean	suvr_psf6_mean	pvc_psf8_mean	suvr_psf8_mean	primary_gray_roi	flag_low_gm_support	flag_negative_nominal_mean	flag_nonfinite_nominal_mean
sub-01	1027	ctx-lh-rostralmiddlefrontal	656	14400.511264282237	0	23561.408203125	1.2905904054641724	432	32263.107421875	1.6648778915405271	33708.26953125	1.7146029472351074	35201.1015625	1.7620880603790283	38280.76953125	1.8486335277557373	1	0	0	0
sub-01	1028	ctx-lh-superiorfrontal	908	19932.41498165895	0	22492.884765625	1.2320613861083984	684	27670.435546875	1.4278815984725952	28556.658203125	1.452561378479004	29444.462890625	1.4739235639572144	31226.36328125	1.507965922355652	1	0	0	0
sub-01	1029	ctx-lh-superiorparietal	430	9439.359517745976	0	19916.98046875	1.0909647941589355	256	25609.578125	1.3215348720550537	26490.08203125	1.3474431037902832	27403.318359375	1.371748447418213	29301.091796875	1.414991855621338	1	0	0	0
sub-01	1030	ctx-lh-superiortemporal	469	10295.48747400666	0	17744.943359375	0.971989929676056	345	21113.328125	1.0895142555236816	21678.861328125	1.1027157306671145	22241.314453125	1.11335027217865	23353.064453125	1.1277529001235962	1	0	0	0
sub-01	1031	ctx-lh-supramarginal	419	9197.887530082708	0	20348.34375	1.1145929098129272	284	25731.451171875	1.3278238773345947	26626.451171875	1.3543795347213743	27546.669921875	1.3789243698120115	29462.939453125	1.422807693481445	1	0	0	0
sub-01	1032	ctx-lh-frontalpole	29	636.6079674758915	0	21405.251953125	1.172485589981079	17	30370.203125	1.5671981573104858	32373.63671875	1.646715521812439	34548.19921875	1.729405164718628	39252.55859375	1.8955622911453247	1	1	0	0
sub-01	1033	ctx-lh-temporalpole	73	1602.4959181289682	0	11490.66796875	0.6294082999229431	51	11531.29296875	0.5950510501861572	11665.494140625	0.5933762788772583	11925.7607421875	0.5969767570495605	12815.5576171875	0.6188817024230957	1	0	0	0
sub-01	1034	ctx-lh-transversetemporal	51	1119.55194280243	0	20333.291015625	1.113768219947815	36	23109.2265625	1.1925090551376345	23475.880859375	1.1941227912902832	23805.4765625	1.1916488409042358	24416.765625	1.179120659828186	1	0	0	0
sub-01	1035	ctx-lh-insula	252	5531.903717376712	0	18331.208984375	1.0041029453277588	227	19929.55078125	1.0284277200698853	20142.966796875	1.0245909690856934	20365.96484375	1.0194745063781738	20832.697265625	1.0060408115386963	1	0	0	0
sub-01	2001	ctx-rh-bankssts	91	1997.6318979415903	0	19371.8203125	1.061103105545044	67	22689.744140625	1.170862317085266	23023.99609375	1.1711372137069702	23353.13671875	1.1690056324005127	24027.62109375	1.160328030586243	1	0	0	0
sub-01	2002	ctx-rh-caudalanteriorcingulate	108	2370.8158788757337	0	17833.62890625	0.976847767829895	93	19177.576171875	0.9896233081817628	19307.42578125	0.9820903539657592	19449.609375	0.9736038446426392	19779.58984375	0.9551846981048584	1	0	0	0
sub-01	2003	ctx-rh-caudalmiddlefrontal	232	5092.863739807132	0	21302.326171875	1.1668477058410645	126	28820.4609375	1.4872267246246338	29892.44921875	1.5205076932907104	30978.82421875	1.5507299900054932	33206.6484375	1.6035969257354736	1	0	0	0
sub-01	2005	ctx-rh-cuneus	83	1822.0159069137585	0	23255.9765625	1.2738600969314575	65	26828.728515625	1.3844468593597412	27124.7109375	1.3797240257263184	27380.185546875	1.3705904483795166	27885.8671875	1.3466484546661377	1	0	0	0
sub-01	2006	ctx-rh-entorhinal	62	1361.023930465699	0	14686.470703125	0.8044602274894714	49	15136.484375	0.781090259552002	15270.3447265625	0.7767404913902283	15455.345703125	0.7736599445343018	15965.1884765625	0.7709819078445435	1	0	0	0
sub-01	2007	ctx-rh-fusiform	387	8495.42356597138	0	18614.658203125	1.0196292400360107	326	20639.41015625	1.0650585889816284	20986.087890625	1.0674772262573242	21363.05859375	1.0693867206573486	22187.5859375	1.0714702606201172	1	0	0	0
sub-01	2008	ctx-rh-inferiorparietal	576	12644.351354003911	0	20702.228515625	1.1339770555496216	378	26958.3671875	1.391136646270752	27998.595703125	1.4241749048233032	29023.751953125	1.452863693237305	31073.095703125	1.500564455986023	1	0	0	0
